Kapitelüberschriften;Nummerierung;H-003;H-005;H-021;H-016;H-001;H-015;H-012;H-006;H-007;dis H-003 H-005;dis H-003 H-021;dis H-003 H-016;dis H-003 H-001;dis H-003 H-015;dis H-003 H-012;dis H-003 H-006;dis H-003 H-007;dis H-005 H-021;dis H-005 H-016;dis H-005 H-001;dis H-005 H-015;dis H-005 H-012;dis H-005 H-006;dis H-005 H-007;dis H-021 H-016;dis H-021 H-001;dis H-021 H-015;dis H-021 H-012;dis H-021 H-006;dis H-021 H-007;dis H-016 H-001;dis H-016 H-015;dis H-016 H-012;dis H-016 H-006;dis H-016 H-007;dis H-001 H-015;dis H-001 H-012;dis H-001 H-006;dis H-001 H-007;dis H-015 H-012;dis H-015 H-006;dis H-015 H-007;dis H-012 H-006;dis H-012 H-007;dis H-006 H-007
;60;D ie wart irme manne ſchir gelich;Si wart ir man ſchier gelich‧;ſe wart eꝛme manne ſar gelik~;Sẏ war irē mā ſchir gleych;ſye wart yrme manne ſchire glich;S i wart im manne ſchier geleich;Se wart erem mane ſche lich;;;0.27;0.3;0.42;0.18;0.18;0.33;1;1;0.52;0.34;0.38;0.19;0.34;1;1;0.66;0.31;0.41;0.41;1;1;0.44;0.38;0.48;1;1;0.31;0.28;1;1;0.34;1;1;1;1;1
;61;Mit reẏnme herʒen tuͦgent rich;;myt ꝛeynem heꝛten yn dogeden rik~;Mit reynē hertʒn̄ vnd tugēt;mit reynem herzen an tugende rich;mit ramem hertʒen in tvͦgden reich.;myt reynē hertē in do gheden rich;;;1;0.52;0.57;0.3;0.35;0.45;1;1;1;1;1;1;1;1;1;0.61;0.33;0.44;0.33;1;1;0.48;0.53;0.52;1;1;0.35;0.39;1;1;0.41;1;1;1;1;1
;62;want ſie ʒwei reẏne vnde guͦt;;wente ʒe was ꝛeyne cus vnde gut~;Wen ſy was fin kewſch warer iugēt;wan ſie was reyne kuſche vnde gut;w and ſi waʒ cheuſch vnd rein v͛ guͤt;wan ſe was reyne kuſch vn̄d gud;;;1;0.47;0.67;0.39;0.54;0.52;1;1;1;1;1;1;1;1;1;0.64;0.36;0.65;0.41;1;1;0.52;0.59;0.52;1;1;0.51;0.15;1;1;0.57;1;1;1;1;1
;63;ʒ uͦ gotte von himele ſtūt er muͦt;;to gade van hemel ſtund al eꝛ mot~;Ʒu got ſtundt alle ir mut;ʒu gote von hymel ſtunt ir mut;ʒvͦ got von himel ſtuͦnt ir mvͤt;do godde vō hymele ſtāt ir moud;;;1;0.59;0.56;0.26;0.32;0.41;1;1;1;1;1;1;1;1;1;0.65;0.41;0.53;0.5;1;1;0.5;0.59;0.65;1;1;0.22;0.35;1;1;0.5;1;1;1;1;1
;64;;;;Auch gehat ſy gih utl;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;65;d ie de heilge frauwe ſante anne;;De hilge vꝛouwe ſunte anna~;Dy heylich fraw ſent anan;die heylige frauwe ſant anne;D ie heilige fraw ſand anne.;De hilghe vrowe ſāte āne;;;1;0.38;0.5;0.22;0.25;0.44;1;1;1;1;1;1;1;1;1;0.56;0.39;0.52;0.33;1;1;0.32;0.37;0.6;1;1;0.18;0.46;1;1;0.48;1;1;1;1;1
;66;L ebete rechte mit irme manne;;leuede ꝛecht myt eꝛꝛme mane~;lebt recht mit irem māne;lebet rechte mit yrme manne;lebte rechte mit irm manne.;leuede rechte myt orem māne;;;1;0.38;0.28;0.1;0.1;0.31;1;1;1;1;1;1;1;1;1;0.43;0.39;0.43;0.29;1;1;0.26;0.19;0.26;1;1;0.15;0.33;1;1;0.3;1;1;1;1;1
;67;N u aller ſlate truͦbeſal;;an alleꝛ ſlachte tꝛuwe ſol~;An alle͛ ſlacht trub ſol;due aller ſlachte trupſal;A n aller ſlachte trubſal.;An aller ſclachte truwe ſol;;;1;0.44;0.4;0.32;0.24;0.37;1;1;1;1;1;1;1;1;1;0.22;0.37;0.3;0.15;1;1;0.32;0.2;0.19;1;1;0.16;0.3;1;1;0.22;1;1;1;1;1
;68;S ie waren mit ein ander wol;;ſe leuede myt andeꝛ wol~;Jn was mit eȳ ande͛ wol;ſye lebten mit eyn ander wol;ſi lebten mit ein ander wol.;se leuede myt eȳ ander wol;;;1;0.54;0.36;0.29;0.25;0.36;1;1;1;1;1;1;1;1;1;0.54;0.43;0.44;0.26;1;1;0.39;0.41;0.37;1;1;0.11;0.29;1;1;0.33;1;1;1;1;1
;69;G uͦdes waren ſie auch riche;;gudes weꝛen ʒe ꝛike~;deʒ gutes warn ſie rich;gutes waren ſye auch rich;G uetes warn ſi ouch reiche.;Ghudes werē ſe ok rike;;;1;0.54;0.46;0.18;0.21;0.43;1;1;1;1;1;1;1;1;1;0.61;0.56;0.67;0.45;1;1;0.44;0.44;0.61;1;1;0.3;0.48;1;1;0.44;1;1;1;1;1
;70;D och ſo hatten ſie geliche;;Doch hadden ſe ʒo ge like~;Do hatten ſie gelich;doch ſo hatten ſye glich;doch ſo heten ſi geleiche.;doch haddē ſe ſo ghelike;;;1;0.52;0.26;0.15;0.19;0.52;1;1;1;1;1;1;1;1;1;0.46;0.54;0.58;0.23;1;1;0.29;0.4;0.54;1;1;0.28;0.58;1;1;0.52;1;1;1;1;1
;71;G eteilet er guͦt rechte in druͦ teil;;ge deylet an dꝛen deyl~;De teilt ir gut in dreÿ teil;geteylt ir gut an dryteyl;G eteilt ir guͦt recht an drev tail.;Ghe delet er gud in dre deyl;;;1;0.68;0.43;0.46;0.19;0.46;1;1;1;1;1;1;1;1;1;0.59;0.56;0.66;0.46;1;1;0.28;0.4;0.38;1;1;0.4;0.39;1;1;0.54;1;1;1;1;1
;72;d uͦrch got vn̄ durch ir ſele hel;;Dorch gat vnde eꝛeꝛ ſelen heil~;durch ir beider ſele heil;durch got vnde an chyn ʒu heyl;durch got vnd durch ir ſele hail;Dor god vn̄ dor ir ſeleheyl;;;1;0.48;0.48;0.45;0.15;0.33;1;1;1;1;1;1;1;1;1;0.42;0.45;0.44;0.52;1;1;0.57;0.44;0.56;1;1;0.41;0.57;1;1;0.34;1;1;1;1;1
;73;E in teil gaben ſie den armen;;en del geuen geuen ʒe den aꝛme~;Ein teil gabn̄ ſie den armen;Eyn teyl gaben ſye den armen;E in tail gaben ſi den armen.;Eyn deyl gheuē ſeden arme;;;1;0.45;0.1;0.14;0.07;0.38;1;1;1;1;1;1;1;1;1;0.52;0.45;0.48;0.45;1;1;0.18;0.18;0.36;1;1;0.21;0.29;1;1;0.43;1;1;1;1;1
;74;Vnde lieʒʒen ſich da mit er barm̄e;;daꝛ mede leten ʒe ʒik vaꝛ baꝛmē~;vnd he lieſſen ſich erbarmē;vnde liſſen ſich erbarmen;vnd lieʒʒen ſich da mit erbarmen.;Darmede leten ſe ſik erbarmē;;;1;0.71;0.41;0.38;0.12;0.56;1;1;1;1;1;1;1;1;1;0.66;0.69;0.75;0.31;1;1;0.19;0.44;0.46;1;1;0.34;0.54;1;1;0.59;1;1;1;1;1
;75;V ber alle die ſie ſahen;;aueꝛ alle de ſe ʒegen~;vber alle die ſie in noͤtn̄ ſagen;vber dye ſychen lute allen;V ber alle die ſi ſachen.;Ouer alle de ſe ſaghen;;;1;0.42;0.36;0.58;0.08;0.25;1;1;1;1;1;1;1;1;1;0.55;0.69;0.46;0.27;1;1;0.55;0.42;0.45;1;1;0.62;0.62;1;1;0.25;1;1;1;1;1
;76;I n noten vn̄ die auch ſiech lagen;gen‧;an noden dede legen~;Oder in ſuchtn̄ wo ſie lagen;vnde dye mit noten waren bevallen;ni noͤten vnd ouch ſiech lagen.;An note vn̄ de ſik claghē;;;0.94;0.59;0.62;0.76;0.26;0.44;1;1;0.85;0.93;0.94;0.93;0.92;1;1;0.68;0.67;0.6;0.52;1;1;0.73;0.6;0.61;1;1;0.76;0.76;1;1;0.5;1;1;1;1;1
;77;d aʒ ander teil daʒ ſchuͦfen ſie;ſchvͦffen ſi‧;Dat andeꝛ del dat ſcoppen ſy~;Daʒ ander teil daʒ gabn̄ ſie;das ander teyl ſchuffen ſye;D aʒ ander tail daʒ ſchuͦffen ſi.;Dat ander ſcupē dat ſcupn̄;;;0.72;0.38;0.28;0.28;0.09;0.5;1;1;0.86;0.82;0.7;0.69;0.85;1;1;0.48;0.45;0.44;0.45;1;1;0.39;0.38;0.54;1;1;0.34;0.67;1;1;0.5;1;1;1;1;1
;78;N u gottes huſer · daʒ man da bi;vſev‧ daʒ man da bei‧;an gades hus dat men daꝛ by~;An gotes huͤſer daʒ mā do bÿ;Jn gotes huſer das man da bye;in gotes hoͤuſer daʒ man da bi.;An goddes hus dat mȳ dar by;;;0.56;0.5;0.38;0.28;0.25;0.47;1;1;0.61;0.69;0.59;0.57;0.68;1;1;0.41;0.34;0.43;0.21;1;1;0.24;0.27;0.41;1;1;0.2;0.38;1;1;0.43;1;1;1;1;1
;79;G ottes huͦſer ſchone ʒirche;otes hvſer ſchone ziert‧;gades hus ſcone ſirde;Dÿ tempel ſchone ʒireth;gotes huſer da mit ʒirten;G otes hoͤuſer ſchone ʒierte.;Godes huſe ſchone zerte;;;0.36;0.43;0.5;0.43;0.25;0.32;1;1;0.5;0.54;0.48;0.25;0.25;1;1;0.62;0.56;0.43;0.3;1;1;0.76;0.54;0.54;1;1;0.39;0.44;1;1;0.25;1;1;1;1;1
;80;Gotte vn̄ die heilgen mit erthe;Got v ovch die heiligen damit êrt‧;got vnde ock de hilgen eꝛde~;Got vnd die heilign̄ mit eret;gote vnde den heyligen wirten;got vnd ouch die heiligen erte.;God vn̄ ok de hilghēn erte;;;0.34;0.55;0.29;0.42;0.45;0.48;1;1;0.51;0.37;0.51;0.31;0.54;1;1;0.59;0.45;0.3;0.32;1;1;0.45;0.43;0.55;1;1;0.4;0.52;1;1;0.33;1;1;1;1;1
;81;I n notduͦrft von deme driten teil;Ir notdvrft von dem drittē teil‧;ere notkoſt van deme dꝛuden dele~;sie nertn̄ ſich vō dē trittn̄ teil;Jr notdorft von dem dritten teyl;I r noͤtdurſt von dem dritten tail.;Er noturft van dem driddē deyle;;;0.24;0.47;0.59;0.24;0.21;0.38;1;1;0.52;0.56;0.19;0.24;0.28;1;1;0.74;0.45;0.53;0.33;1;1;0.59;0.56;0.71;1;1;0.21;0.31;1;1;0.41;1;1;1;1;1
;82;Sie nam̄e mit ſele heil;Si namen mit ir ſele heil‧;ſe nemen myt eꝛeꝛ ſelen heile~;;ſye namen mit ir ſele heyl;ſi namen mid ir ſele hail.;Se namē myt er ʒele heyle;;;0.27;0.47;1;0.31;0.36;0.4;1;1;0.37;1;0.19;0.15;0.31;1;1;1;0.37;0.4;0.37;1;1;1;1;1;1;1;0.19;0.31;1;1;0.44;1;1;1;1;1
;83;k int ſie nie gewunnen beide;kint ſi nie gewunden beide‧;kint ſe mi wunen beide~;kint ſie ge wānen beide;kint ſye nye gewinen beyde;c hint ſi nie gewunnen beide.;kȳt ſe ghewūnē idne keyde;;;0.14;0.29;0.25;0.21;0.11;0.57;1;1;0.26;0.26;0.26;0.18;0.59;1;1;0.22;0.35;0.36;0.54;1;1;0.27;0.32;0.5;1;1;0.32;0.5;1;1;0.64;1;1;1;1;1
;84;d aʒ waʒ en ein groʒʒe leẏde;Daʒ was in ein groʒe laide‧;Dat was en vil grot leyde~;;da von ſye trugen groſſe leyde;daʒ waʒ in ein weile groʒʒe leide.;Dat was en eyn vil grot leÿde;;;0.25;0.36;1;0.5;0.27;0.41;1;1;0.33;1;0.57;0.3;0.41;1;1;1;0.57;0.42;0.21;1;1;1;1;1;1;1;0.52;0.6;1;1;0.33;1;1;1;1;1
;85;k indes gebuͦrt ſie nie gewunnen;kindes gebvrt ſi nie gewunnen‧;cyndes ge boꝛt ʒe mi wunnen~;kindes geburt ſie ne ge wānen;;c hindes geburt ſi nie gewunnen.;kyndes ghe bort ſe ne ghuwūnen;;;0.16;0.44;0.19;1;0.12;0.38;1;1;0.4;0.23;1;0.16;0.37;1;1;0.52;1;0.42;0.37;1;1;1;0.26;0.27;1;1;1;1;1;1;0.42;1;1;1;1;1
;86;d a von ſie truͦwen ab beguͦnnen;Da von ſi trovrē oft begvnnen‧;Dar van ʒe tꝛuꝛendes be guuden~;Do vō ſie trurē auch be gūnen;;da von ſi trovren ofte begvnnen.;Daꝛwā ſe trurē beyde beghunden;;;0.41;0.5;0.47;1;0.34;0.53;1;1;0.58;0.47;1;0.13;0.53;1;1;0.58;1;0.58;0.55;1;1;1;0.48;0.47;1;1;1;1;1;1;0.52;1;1;1;1;1
;87;S ie baden got von himelrich;Si baten got von himelrich‧;ſe beden gott van hemel ꝛick~;Sie lobtn̄ got vō himel reich;ſye baten got von hymelrich;s i baten got von himelreich;Se beden god van hīmekrike;;;0.14;0.38;0.34;0.18;0.11;0.32;1;1;0.38;0.38;0.19;0.11;0.37;1;1;0.52;0.34;0.41;0.31;1;1;0.41;0.34;0.52;1;1;0.18;0.37;1;1;0.39;1;1;1;1;1
;88;d aʒ he wolde erbarmen ſich;Daʒ er wolt erbarmen ſich‧;Dat he wolde vor baꝛmen ʒik~;Daʒ er wolt erbarmē ſich;daʒ er wolde erbarmen ſich;daʒ er wolt erbarmen ſich.;Dat hewolde irbarmē ſicke;;;0.22;0.32;0.26;0.11;0.19;0.3;1;1;0.46;0.12;0.12;0.04;0.42;1;1;0.5;0.36;0.43;0.36;1;1;0.15;0.08;0.36;1;1;0.08;0.35;1;1;0.44;1;1;1;1;1
;89;v ber ſie vnde wuͦlde in geben;Vber ſi v wolt in geben;aueꝛ ſe vnde wolde en geuen~;Vber ſie vnd in wolt gebn̄;uber ſye vnde wolde yn gebe;v ber ſi vnd wolt in geben.;Ouer ſe vn̄ wolde en gheuē;;;0.3;0.33;0.43;0.23;0.2;0.43;1;1;0.43;0.42;0.37;0.12;0.46;1;1;0.54;0.29;0.39;0.29;1;1;0.44;0.38;0.62;1;1;0.33;0.33;1;1;0.46;1;1;1;1;1
;90;E in kint da von gefrauwet ir leben;Ein kint da von gevrevt ir leben‧;en cynd daꝛ van vꝛo vrouwet woꝛde~;Ein kint da vō gefrawet ir lebn̄;da von eyn kint da von gefreuwe;ein chint da von geſreut ir lebē.;Eȳ kyt dar van ghevrowet ir leuē;;;0.2;0.57;0.17;0.54;0.26;0.4;1;1;0.65;0.24;0.61;0.21;0.42;1;1;0.62;0.74;0.59;0.47;1;1;0.66;0.31;0.41;1;1;0.59;0.75;1;1;0.44;1;1;1;1;1
;91;;;eꝛeꝛ beydeꝛ leupent~;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;92;Wuͦrde vn̄ auch er kuͦnne gemeret;wrde‧ vn̄ ovch ir kv̄ne gemêrt‧;unde er cumeꝛ ge meꝛet~;wurde vnd ir kōne gemert;kunde vnde ir geſlecht;w uͤrde vnd ir chvnne gemeret.;worde vn̄ ir kūmer ghe metet;;;0.36;0.61;0.36;0.64;0.36;0.48;1;1;0.68;0.39;0.65;0.52;0.55;1;1;0.62;0.61;0.59;0.5;1;1;0.46;0.24;0.32;1;1;0.55;0.57;1;1;0.45;1;1;1;1;1
;93;V nde got von himelriche geeret;Vn̄ got von himeltch geêrt‧ ;vnde ock got van hemel ge eꝛett~;Vnd got vō himelrich geert;vnde auch von hymel got;vnd ouch got von himel geeret.;vn̄ ok god vā hēmele gheeret;;;0.29;0.5;0.19;0.48;0.35;0.45;1;1;0.5;0.26;0.52;0.41;0.5;1;1;0.5;0.5;0.28;0.41;1;1;0.58;0.41;0.46;1;1;0.38;0.61;1;1;0.34;1;1;1;1;1
1.2 Joachim Vertreibung Tempel;94;In einer groʒʒen hochʒit;;In eyneꝛr gꝛoten hoch tid hoch tid.;AN einer groſſn̄ hochʒyt;Ineyner groſſen hochʒit;In einer groʒʒen hochʒeit.;N eyner grotē hochtit;;;1;0.47;0.25;0.17;0.04;0.29;1;1;1;1;1;1;1;1;1;0.56;0.47;0.47;0.44;1;1;0.25;0.28;0.33;1;1;0.2;0.3;1;1;0.32;1;1;1;1;1
;95;die an deme ſẏbendē māne lit;;de an deme ſouenden namen lid.;Dy an dē ſibende monēde leit;dye an dem ſybende monde lit;da an ſibenden mandet leit.;De an dem ſeuēde mane lit;;;1;0.34;0.39;0.21;0.5;0.29;1;1;1;1;1;1;1;1;1;0.48;0.38;0.48;0.31;1;1;0.21;0.29;0.39;1;1;0.39;0.25;1;1;0.46;1;1;1;1;1
;96;G ot mit lobe ir opper buͦden;;gade myt laue eꝛ offeꝛ boden~;daʒ ſie ir oppher got brachtn̄;ʒu ſammen komen alle;got mit lobe ir opher buten.;Godde myt offere ſe loueden;;;1;0.48;0.7;0.79;0.14;0.62;1;1;1;1;1;1;1;1;1;0.83;0.76;0.48;0.52;1;1;0.8;0.67;0.77;1;1;0.78;0.78;1;1;0.67;1;1;1;1;1
;97;Mit ſamun̄ge alle die iuden;;to ʒamende qwemen alle de yodē~;vnd ſie ſich deʒ bedachtn̄;got mit lobe vnde mit geſange;ʒ v ſamen chomen alle di iuden.;zo ſamene quamē al de ioden;;;1;0.58;0.81;0.69;0.37;0.56;1;1;1;1;1;1;1;1;1;0.84;0.81;0.45;0.39;1;1;0.76;0.73;0.81;1;1;0.73;0.79;1;1;0.43;1;1;1;1;1
;98;I n deme tempel ʒuͦ Iheruſalem;;yn deme tempel to yeꝛuſalem~;Jn den tempel zu ieruſalem;Jndem tempel ʒu iheruſalem;In den tempel ʒvͦ ieruſalem.;In dem teplo to ihelin;;;1;0.3;0.23;0.17;0.17;0.47;1;1;1;1;1;1;1;1;1;0.29;0.32;0.32;0.5;1;1;0.15;0.15;0.54;1;1;0.22;0.5;1;1;0.52;1;1;1;1;1
;99;d o quam auch dar her ioachim;;do qwam ok dar heꝛ yochim~;Ge gangn̄ quam er ioachim;da quam auch hin yoachim;do quam ouch dar her ioachym;Do quam herioachim;;;1;0.34;0.52;0.31;0.1;0.38;1;1;1;1;1;1;1;1;1;0.62;0.46;0.32;0.5;1;1;0.6;0.54;0.44;1;1;0.36;0.38;1;1;0.39;1;1;1;1;1
;100;D o her ʒuͦ dim alter ginc;;to deme altaꝛe he do gink~;Do er ru dē alter ging;Do er zu dem altar drat;D a er ʒvͦ dem alter giench.;to deme altae he do ghink;;;1;0.73;0.27;0.38;0.22;0.73;1;1;1;1;1;1;1;1;1;0.65;0.77;0.74;0.12;1;1;0.35;0.37;0.64;1;1;0.44;0.76;1;1;0.78;1;1;1;1;1
;101;Sin opper an ſin hant gefinch;;ſin offeꝛ in de hant he nymt~;Sin oppher er in die hant enphing;ſyn opfer an ſyner hant bat;ſein opher an ſein hant geviench.;Syn offer andehant ghevink;;;1;0.52;0.39;0.45;0.19;0.41;1;1;1;1;1;1;1;1;1;0.48;0.52;0.47;0.45;1;1;0.58;0.52;0.48;1;1;0.47;0.56;1;1;0.44;1;1;1;1;1
;102;Daʒ vf den alter legen wuͦlde;;Dat he leggen vppe dat altaꝛ wolde~;Do er es vff den alter legen wolte;Daz er legen vff den altar wolde;D aʒ legen ouf den alter wolte.;Dat legen vp den altar wolde;;;1;0.63;0.32;0.59;0.6;0.59;1;1;1;1;1;1;1;1;1;0.69;0.31;0.43;0.29;1;1;0.41;0.44;0.47;1;1;0.25;0.19;1;1;0.23;1;1;1;1;1
;103;Mit rechter andacht als her ſuͦlde;;myt ꝛemeꝛ andacht alʒo he ſcolde~;Mit andacht als er ſolte;mit rechter andacht als er ſolde;mit rechter andacht als er ſolte;myt reyner ādacht alʒo he ſcholde;;;1;0.35;0.35;0.09;0.12;0.35;1;1;1;1;1;1;1;1;1;0.42;0.36;0.39;0.24;1;1;0.28;0.25;0.45;1;1;0.03;0.36;1;1;0.39;1;1;1;1;1
;104;;;;Da daʒ der priſter er ſach;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;105;;;;nu moget ir horn waʒ er ſprach;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;106;E in priſter hieʒ her ẏſachar;;eyn pꝛeſteꝛ de hete yſachaꝛ~;der priſter der hieß ÿſachar;Ein priſter hiß yſachar;E in prieſter hieʒ da yſachar;Eȳ p̄ſter dehet yſachar;;;1;0.45;0.38;0.28;0.17;0.38;1;1;1;1;1;1;1;1;1;0.45;0.43;0.48;0.32;1;1;0.31;0.45;0.31;1;1;0.24;0.35;1;1;0.41;1;1;1;1;1
;107;d er wart ſin ſchire da gewar;;de waꝛt ʒineꝛ ſcyꝛe ge waꝛ~;Dy her joachims wart ge war;der wart ſyn wider gewar;der wart ſein ſchier da gewar.;De wart ſyn ſchere dar ghewar;;;1;0.52;0.59;0.31;0.14;0.21;1;1;1;1;1;1;1;1;1;0.74;0.52;0.52;0.55;1;1;0.59;0.59;0.55;1;1;0.31;0.34;1;1;0.24;1;1;1;1;1
;108;h e ſprach nuͦ hoꝛe mich ioachim;;he ſpꝛak nu hoꝛe my yoachim~;Er ſprach nu hoͤr her joachim;Er ſprach nu hord mich yoachym;E r ſprach nv hoͤre mich ioachym.;he ſprak nuhoe myt ioachim;;;1;0.31;0.34;0.25;0.22;0.28;1;1;1;1;1;1;1;1;1;0.41;0.4;0.47;0.21;1;1;0.27;0.28;0.38;1;1;0.16;0.4;1;1;0.41;1;1;1;1;1
;109;V nde duͦ mine rede recht virmim;dev meine rede;;min rede recht  w͛ nȳm;vnde myner rede recht var nym;vnd mein rede du rechte v͛nim.;vn̄ myne rede rechte vor mym;;;0.66;1;0.53;0.34;0.47;0.38;1;1;1;0.77;0.69;0.66;0.71;1;1;1;1;1;1;1;1;0.41;0.45;0.43;1;1;0.45;0.21;1;1;0.41;1;1;1;1;1
;110;d uͦ ſalt vʒ deme tempel gen;Dv ſolt vz dem tempel gên‧;du ſcalt deme tempel gan vt~;du ſolt vſſ dem tēpel gen;du ſolt vs dem tempel gan;D u ſcholt ouʒ dem tempel gen.;Du ſcholt vr dem tēplo ghan;;;0.29;0.39;0.29;0.21;0.24;0.46;1;1;0.43;0.27;0.15;0.31;0.41;1;1;0.5;0.36;0.45;0.54;1;1;0.2;0.28;0.3;1;1;0.24;0.3;1;1;0.34;1;1;1;1;1
;111;V nde ſalt da voꝛ wan rechte ſten;v ſolt da voꝛ von rehtē ſtên‧;vnde ſchlt daꝛ voꝛe van ꝛechte ſtan~;vnd do vor vō rechte ſten;vnde da vor von rechte ſtan;vnd ſolt da vor von rechte ſten.;vnd ſchalt dar vor to rechte ſtan;;;0.33;0.25;0.36;0.3;0.18;0.3;1;1;0.36;0.47;0.37;0.23;0.39;1;1;0.44;0.33;0.28;0.28;1;1;0.19;0.26;0.36;1;1;0.19;0.3;1;1;0.21;1;1;1;1;1
;112;G ot dines oppers nicht en gert;Got dines opffers niht engêrt‧;got dines offeꝛs nycht en be geꝛt~;Got deines opphers nicht engert;got dynes opfers nicht engert;G ot deines opfer nicht engert.;God dynes offers nicht en gert;;;0.23;0.29;0.13;0.13;0.13;0.16;1;1;0.32;0.19;0.17;0.23;0.23;1;1;0.35;0.29;0.35;0.26;1;1;0.13;0.13;0.23;1;1;0.13;0.1;1;1;0.23;1;1;1;1;1
;113;d a von biſt duͦ des nicht gewert;Davon biſt dv des niht wêrt‧;Daꝛ vme biſtu nycht weꝛd~;Do vō biſtu deʒ nicht wert;dar vmb biſtu des nicht wert;dar vm ſo biſtv des nicht wert.;Daꝛ v̄me biſtu des nicht wert;;;0.27;0.52;0.3;0.27;0.36;0.3;1;1;0.61;0.39;0.36;0.37;0.38;1;1;0.46;0.36;0.43;0.31;1;1;0.18;0.27;0.21;1;1;0.13;0.1;1;1;0.2;1;1;1;1;1
;114;D aʒ duͦ din oppir ſulles legen;Daz dv din opffer ſvleſt legen;Dat du din offeꝛ ſcoldeſt legen~;daʒ du dein oppher ſolleſt legn̄;daʒ du dyn opfer ſulleſt legen;D aʒ du dein opfer ſchulleſt legen.;Dat du dyn offer ſcholdeſt legghē;;;0.35;0.41;0.31;0.23;0.24;0.48;1;1;0.25;0.28;0.2;0.26;0.33;1;1;0.31;0.25;0.26;0.18;1;1;0.22;0.24;0.36;1;1;0.15;0.27;1;1;0.29;1;1;1;1;1
;115;V f den alter vant den ſegen;vf den alter wan den ſegen‧;vppe dat altaꝛ went du den ſegen;vnd den altar wan du den ſegn̄;vff den altar wan den ſegen;ouf den alter want den ſegen.;vpdat altar von den ſeghen;;;0.14;0.38;0.3;0.14;0.11;0.32;1;1;0.41;0.27;0.11;0.14;0.33;1;1;0.31;0.34;0.38;0.34;1;1;0.23;0.3;0.43;1;1;0.14;0.3;1;1;0.39;1;1;1;1;1
;116;G ottes haſt duͦ gar verloꝛn;Gotes haſt dv gar verlœ̂n‧;gades heſt vor laꝛen~;Gotes vnd ſin haſt vo͛ lorn;gotes has haſtu gar verlorn;G otes haſtv gar verlorn.;Goddes denſt haſtu vor lorē;;;0.25;0.61;0.57;0.36;0.21;0.61;1;1;0.54;0.59;0.37;0.23;0.63;1;1;0.59;0.63;0.58;0.56;1;1;0.48;0.48;0.41;1;1;0.22;0.48;1;1;0.52;1;1;1;1;1
;117;d aʒ ich dir ſage daʒ la an ʒoꝛn;Daz ich dir ſage daz laze an zorn‧;Dat ik dy ʒege ane toꝛn~;daʒ ich die ſage daʒ loſ on ʒorn;daʒ ich dir ſage das las an ʒorn;daʒ ich dir ſage daʒ la an ʒorn.;Dat ik dir ſaghe dat lat an torn;;;0.24;0.56;0.19;0.12;0.06;0.28;1;1;0.56;0.26;0.18;0.18;0.26;1;1;0.59;0.59;0.58;0.5;1;1;0.16;0.12;0.31;1;1;0.06;0.22;1;1;0.22;1;1;1;1;1
;118;k indes gebuͦrte duͦ nie gewuͦnne;kindes gebvrt dv nie gewnne‧;kindes ge boꝛt du niͭ wuneſt~;kinde geburt du nÿe ge wāne;kindes gebvrde du nye gewvnne;c hindes geburt du nie gewunne.;kȳdes ghebort du ne ghewūne;;;0.27;0.45;0.33;0.24;0.18;0.39;1;1;0.38;0.29;0.21;0.23;0.32;1;1;0.48;0.48;0.43;0.48;1;1;0.28;0.3;0.36;1;1;0.27;0.34;1;1;0.37;1;1;1;1;1
;119;v n̄ haſt noch nie gemeret din kuͦnne;Vn̄ haſt noch nie gemêrt din kv̄ne‧;vnde du en heſſt nu ge meꝛet dine cune;nach en haſt ge mert dy kōne;vnde haſt gemert nye din kvnne;vnd haſt gemert nach nie dein ch;vn̄ haſt ghe meret nochne dȳ kūne;;;0.19;0.55;0.57;0.51;0.65;0.51;1;1;0.61;0.57;0.51;0.63;0.54;1;1;0.47;0.58;0.61;0.63;1;1;0.5;0.69;0.55;1;1;0.38;0.39;1;1;0.39;1;1;1;1;1
;120;D u biſt ein gottes vergeʒʒen man;Dv biſt ein gotes v͛gezzē man‧;du biſt eyn gades voꝛ getten man~;Su biſt ein goteſ vo͛ geſſen mā;du biſt ein vergeſſener man;d u biſt ein gotes v͛geſſner man.;Du biſt goddes wigede man;;;0.3;0.33;0.33;0.36;0.21;0.39;1;1;0.36;0.39;0.43;0.25;0.43;1;1;0.33;0.45;0.36;0.42;1;1;0.45;0.28;0.55;1;1;0.28;0.44;1;1;0.41;1;1;1;1;1
